week,他産業サービス・製品,電子部品・産業用電子機器,化学,SI・ソフトウエア開発,食品,設備機器・部品,産業機械,地方銀行,建設・土木,サービス,自動車部品,情報通信,外食・娯楽サービス,電気機器,不動産(住宅),設備工事,ヘルスケア製品・サービス,メディア,小売,パッケージソフト,他消費財小売り,サービス業,他個人サービス・製品,情報・通信業,機械,電子デバイス製造装置,その他
1,188,156,159,174,117,79,104,55,82,117,83,103,113,72,65,30,87,79,59,62,78,62,81,65,52,36,1349
2,68,63,45,71,39,25,42,40,24,55,23,50,37,23,21,8,43,38,28,26,30,20,34,25,14,22,461
3,40,24,30,40,23,17,22,29,9,31,12,19,30,18,11,2,16,26,11,19,24,13,15,12,13,6,298
4,57,44,44,72,33,21,32,33,17,47,26,34,42,26,22,2,22,36,16,23,26,21,23,25,23,13,452
5,70,37,43,79,45,28,33,49,35,44,26,34,49,25,34,14,21,41,20,28,34,28,25,31,14,5,498
6,50,34,49,63,38,31,25,29,44,29,23,35,33,24,24,12,22,31,17,15,21,20,23,27,7,5,396
7,78,46,66,84,41,35,28,16,44,44,29,41,43,22,34,16,33,39,26,30,23,31,29,32,12,9,486
8,37,16,22,32,20,13,16,20,14,21,12,22,19,9,15,3,20,15,15,12,9,13,15,13,9,4,248
9,26,10,23,19,22,17,11,5,13,10,12,11,26,4,17,5,15,10,18,14,13,10,14,6,7,3,240
10,22,18,41,16,25,15,23,7,16,12,19,10,23,6,16,6,14,5,19,10,20,7,18,9,10,2,288
11,32,29,33,25,38,15,23,30,15,17,20,11,24,7,19,4,14,13,16,11,17,8,21,12,12,5,324
12,44,32,44,34,40,15,28,43,23,26,33,19,31,7,21,8,20,14,17,11,18,12,16,15,9,6,396
13,38,14,29,25,28,7,17,28,17,23,19,18,27,6,23,3,21,17,21,11,20,9,20,8,4,3,275
14,5,2,2,0,5,0,0,0,1,3,2,3,6,1,7,0,2,1,7,4,3,4,2,2,1,1,37
15,12,4,3,5,17,2,6,0,1,5,2,9,16,0,9,0,7,7,13,7,10,3,7,3,0,0,84
16,26,7,15,19,35,7,6,1,7,19,2,14,25,1,19,3,10,15,17,10,12,5,14,14,1,1,140
17,19,8,10,17,28,11,8,0,15,11,2,11,10,3,12,7,13,9,13,7,17,7,12,6,0,0,139
18,14,4,6,12,11,5,7,1,7,5,1,10,2,3,8,6,6,3,5,4,5,3,5,7,1,0,101
19,27,18,9,33,17,15,16,13,19,13,9,16,8,12,17,10,16,7,11,11,9,12,11,13,7,1,207
20,41,19,18,44,10,17,11,4,13,16,12,25,12,9,12,3,10,13,9,18,12,13,12,10,5,2,159
21,14,15,4,28,6,11,6,3,10,16,8,17,8,13,8,5,4,7,3,11,3,11,6,10,2,1,125
22,29,25,15,39,11,15,10,6,10,20,8,19,9,17,13,9,7,14,7,13,7,17,7,13,7,3,186
23,31,25,13,33,15,18,13,9,11,15,7,21,16,11,11,7,9,7,7,20,10,15,11,18,8,2,193
24,29,27,12,38,13,12,10,5,7,12,7,21,8,13,8,12,3,14,9,18,8,13,10,14,6,3,161
25,34,19,8,31,13,14,13,6,15,22,7,16,5,15,9,14,7,11,14,11,11,15,9,16,5,6,175
26,34,22,13,21,13,18,19,6,15,22,10,20,14,21,7,14,8,9,10,16,10,7,13,13,5,10,173
27,13,13,12,11,11,12,13,12,16,11,9,10,6,9,7,12,10,3,13,9,7,6,9,8,4,2,154
28,35,25,28,16,17,15,13,30,23,13,11,10,13,10,17,14,6,9,16,10,9,10,9,7,6,5,228
29,20,16,18,15,10,14,13,23,10,13,9,7,7,10,9,14,8,10,11,12,6,7,4,8,5,5,152
30,36,25,42,18,22,23,21,35,19,24,24,15,11,15,13,21,11,10,13,12,4,7,10,12,17,7,269
31,34,36,50,24,23,29,17,12,38,19,25,16,20,19,20,21,18,15,15,15,12,10,17,14,17,4,332
32,52,46,61,36,35,33,27,27,45,28,36,19,23,23,25,26,21,17,20,16,15,20,19,18,21,7,425
33,35,44,48,36,26,32,23,44,26,35,28,24,20,18,24,11,17,15,11,20,11,18,21,15,18,12,339
34,40,48,51,25,29,24,26,48,16,28,35,17,19,13,25,10,16,19,15,16,13,12,14,11,11,6,350
35,30,39,43,10,21,12,18,13,18,24,29,13,17,11,16,8,13,12,12,11,12,9,10,7,9,6,270
36,36,44,58,14,29,26,23,11,39,20,34,13,9,19,21,7,18,8,10,10,13,8,11,5,15,5,378
37,23,41,32,14,22,24,20,21,15,15,15,14,7,17,15,11,11,9,11,6,12,7,11,4,10,12,250
38,17,38,30,29,26,19,13,8,10,10,17,13,9,21,11,5,10,2,7,6,8,8,9,9,10,15,192
39,23,30,34,29,22,16,19,38,15,14,15,14,10,15,13,6,11,8,7,4,10,12,5,7,13,9,246
40,10,26,16,13,3,12,16,3,8,4,9,4,3,23,5,4,7,2,3,3,6,7,2,4,11,10,101
41,9,18,16,7,5,8,10,10,7,3,8,9,5,14,5,6,5,2,2,3,1,5,0,3,8,6,94
42,11,13,14,6,2,5,11,7,10,1,3,4,2,11,6,2,5,5,2,2,3,2,0,6,6,7,96
43,14,44,34,10,7,25,25,28,30,3,20,5,2,26,5,14,9,1,2,3,4,7,1,10,16,9,161
44,9,33,18,13,9,22,11,20,9,4,5,1,1,28,3,24,2,2,2,0,1,1,2,8,8,12,89
45,7,23,17,6,12,17,9,31,21,5,10,0,5,8,6,10,6,4,2,2,3,4,3,4,7,7,121
46,17,28,31,12,10,18,14,29,25,7,18,4,6,6,10,13,12,5,4,3,5,11,3,9,6,5,180
47,9,12,21,9,9,8,5,27,13,4,4,4,3,2,6,4,10,4,3,2,5,5,4,7,3,0,125
48,19,29,43,16,17,13,15,49,24,11,21,7,8,9,8,11,13,4,5,3,6,3,2,8,6,4,230
49,16,29,25,10,5,15,11,16,8,5,9,3,7,10,2,4,6,2,3,2,2,0,1,5,5,4,109
50,13,34,33,12,10,14,11,36,8,9,17,5,11,11,3,12,7,4,4,3,7,2,2,4,8,7,179
51,21,26,39,16,12,14,9,34,15,11,20,4,9,5,6,10,11,5,4,2,8,4,6,1,4,2,156
52,25,31,46,12,16,13,15,31,17,12,25,9,9,4,9,14,4,5,5,4,8,6,5,6,3,9,224
