date,cash,market_value,equity,positions,nikkei_phase,rule_name,pnl_day,prev_phase,segment_id
2026-01-05,1094319.0,1894850.0,2989169.0,7,normal,condition2,-10831.0,,1
2026-01-06,425738.50000000006,2571100.0,2996838.5,9,normal,condition2,7669.5,normal,1
2026-01-07,425738.50000000006,2585700.0,3011438.5,9,normal,condition2,14600.0,normal,1
2026-01-08,425738.50000000006,2568050.0,2993788.5,9,normal,condition2,-17650.0,normal,1
2026-01-09,69632.0,2940700.0,3010332.0,9,normal,condition2,16543.5,normal,1
2026-01-13,69632.0,2994400.0,3064032.0,9,normal,condition2,53700.0,normal,1
2026-01-14,69632.0,3053750.0,3123382.0,9,normal,condition2,59350.0,normal,1
2026-01-15,363544.5,2772100.0,3135644.5,9,normal,condition2,12262.5,normal,1
2026-01-16,3173644.5,0.0,3173644.5,0,surge,no_trade,38000.0,normal,2
2026-01-19,3173644.5,0.0,3173644.5,0,high_vol,no_trade,0.0,surge,3
2026-01-20,3173644.5,0.0,3173644.5,0,high_vol,no_trade,0.0,high_vol,3
2026-01-21,3173644.5,0.0,3173644.5,0,high_vol,no_trade,0.0,high_vol,3
2026-01-22,3173644.5,0.0,3173644.5,0,high_vol,no_trade,0.0,high_vol,3
2026-01-23,1893762.5,1271300.0,3165062.5,4,normal,condition2,-8582.0,high_vol,4
2026-01-26,3148262.5,0.0,3148262.5,0,high_vol,no_trade,-16800.0,normal,5
2026-01-27,3148262.5,0.0,3148262.5,0,settling,no_trade,0.0,high_vol,6
2026-01-28,3148262.5,0.0,3148262.5,0,settling,no_trade,0.0,settling,6
2026-01-29,3148262.5,0.0,3148262.5,0,settling,no_trade,0.0,settling,6
2026-01-30,2391174.0,745500.0,3136674.0,3,uptrend,condition2,-11588.5,settling,7
2026-02-02,36979.00000000012,3077400.0,3114379.0,7,uptrend,condition2,-22295.0,uptrend,7
2026-02-03,401579.0000000001,2769000.0,3170579.0,7,normal,condition2,56200.0,uptrend,8
2026-02-04,253795.00000000012,2982250.0,3236045.0,8,normal,condition2,65466.0,normal,8
2026-02-05,36995.00000000012,3183100.0,3220095.0,9,normal,condition2,-15950.0,normal,8
2026-02-06,542195.0000000001,2735550.0,3277745.0,8,normal,condition2,57650.0,normal,8
2026-02-09,3295195.0,0.0,3295195.0,0,surge,no_trade,17450.0,normal,9
2026-02-10,3295195.0,0.0,3295195.0,0,surge,no_trade,0.0,surge,9
2026-02-12,3295195.0,0.0,3295195.0,0,surge,no_trade,0.0,surge,9
2026-02-13,3295195.0,0.0,3295195.0,0,surge,no_trade,0.0,surge,9
2026-02-16,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,surge,10
2026-02-17,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,high_vol,10
2026-02-18,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,high_vol,10
2026-02-19,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,high_vol,10
2026-02-20,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,high_vol,10
2026-02-24,3295195.0,0.0,3295195.0,0,high_vol,no_trade,0.0,high_vol,10
2026-02-25,1887491.5,1414700.0,3302191.5,3,normal,condition2,6996.5,high_vol,11
2026-02-26,3296591.5,0.0,3296591.5,0,settling,no_trade,-5600.0,normal,12
2026-02-27,3296591.5,0.0,3296591.5,0,settling,no_trade,0.0,settling,12
2026-03-02,3296591.5,0.0,3296591.5,0,uptrend,condition2,0.0,settling,13
2026-03-03,3296591.5,0.0,3296591.5,0,high_vol,no_trade,0.0,uptrend,14
2026-03-04,3296591.5,0.0,3296591.5,0,crash,no_trade,0.0,high_vol,15
2026-03-05,3296591.5,0.0,3296591.5,0,crash,no_trade,0.0,crash,15
2026-03-06,3296591.5,0.0,3296591.5,0,crash,no_trade,0.0,crash,15
2026-03-09,3296591.5,0.0,3296591.5,0,crash,no_trade,0.0,crash,15
2026-03-10,3296591.5,0.0,3296591.5,0,high_vol,no_trade,0.0,crash,16
