ticker,company_name,sector,best_variant,theme_text_regenerated_normalized
3099.T,三越伊勢丹ホールディングス,小売業,theme_bodyleft,"ー5&5ーiåiillii'llilllli::△事11東P23Ⅱ己資本3,8公益財団1,跖自町自己、高安ま比00、引,自社グループ取引先れ株ム18M0ー0響「彳'ー清水建設6ー」11【指標等】く〉明安日件命保険5G9凵高安日・自社グループ従業員れ株ム調整ー株益最高)58,B・WT幻4引、"
1835.T,東鉄工業,建設業,theme_tight,"57【株ょ&ー【株ド務く>リ・カストデ日-マスター東一本旅ー7社(自己じ・・本0,4四日本電設ー物社社員明′田ゑ一ィ,日本価"
4832.T,ＪＦＥシステムズ,情報・通信業,theme_wide,"&4【株式】7俐【株ド名く①例.3JFEスチールー7務)く2〉市ⅱよ,スタ2→→ー資恥プラントエンジ加例→幻.4己・本四,トラス情ービス安き比事ーアドバンテ,ク島第,リ友'託銀行0ト0東計電ー【指標等】〉日本カストディぐ日0"
1898.T,世紀東急工業,建設業,theme_wide,"【株式】訂,4俐【株ド,コ東急建設日本マスタヨ日76,例2Ⅱ自ロ%資本日-カストアー翦・安き比事自社員持株会97有6Moカスタマーセ=24ー2【指標等】〉ティーズ龕安統日・く〉7く"
2594.T,キーコーヒー,食料品,theme_bodyleft,01東P21ー分1→1OA)島安ま比、ーー卩0物、響「53日本カストプれ景Eロい幻【指標等】く4・3〉前田建設匚業加()2踟1%11調ー株益ⅸ益(3)【役一以急川股・雄床田12信行い
3011.T,バナーズ,小売業,theme_bodyleft,"ー78.Ⅱ.11ま&0第0→1高値f.9ー2【株式】&【株12,2名く幻コ〉庸幻,1Ⅲ.(イ己株日)4幻幻.7断工ルみ当光第.9:阜1ー齠>みよし建設Ⅱ己資本恥9和建材、山嵩大.よ6例09(ー5)高安師日・RO、75ー予7・ハくヤ::勳橆、ーー1調ー株益最純益(.3)1,引2,虹.7・、資予鬘、1、林山人"
4389.T,プロパティデータバンク,情報・通信業,theme_wide,".72.4.ー東44OA)ー一例ー行【株式】5,0俐【株ド・く既3〉「水建設ケン・コーポレーき比事ー/ーザント2スト(AVFC)【指標等】〉ーロッパ()加"
1726.T,ビーアールホールディングス,建設業,theme_bodyleft,"ー71位舸→OA)64【指標等】くh.3〉自グループ取引先れ株会3幻0響「5広成建設幻Ⅱ己資本14,自社(育蟲「-Dー生3>4而メント国2&祐靄ートウシウアセットマネジ1日本マスタヨ日)【株式】&4【株1川7名閉①庸高安日・-訂調ー株益.トウショウ7韻益(21①1,射8く外国〉15ー動株〉、戸年、0、(0年満、0)0予【寝藤田、-井"
3246.T,コーセーアールイー,不動産業,theme_bodyleft,"ー...11舸→第74カ0川)OA)【株式】&10,【株1肥,名閉.1>庸1阪い藤敏、Ⅱトラスト幻0.2一生l>'=ンンオーレ会5記資本,籀自、。本比ハ合人福ⅸ研カ12い12思「店料絢工ーーイー90名ーげ3,4九州建設4【指標等】く4・1>「社役員持株へ7(の高安日・・膊双5年満仇)価40チ、哢「譬!本韻益(1)1,%加石調ー株益"
4571.T,ＮＡＮＯ ＭＲＮＡ,医薬品,theme_wide,"幻.8難24ーー訂ー△17ー7ー7,.6△1ーノーリッ石資本3,京滋建設務)く23〉市い-郎大券ー信越化学ー【株式】70,俐【株ドコ"
